Header complete

Initialization Complete

All file consumed

['186.177.189.227', 'B70873', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-2::255.255.255.0,route::vpn-gat::']
['186.26.117.95', 'B62804', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-1::,route::priv-net-2::255.255.255.0,route::priv-net-3::,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['200.119.185.99', 'b57617', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-1::255.255.255.0,route::priv-net-2::,route::vpn-gat::']
['201.193.220.62', 'B16802', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-2::255.255.255.0,route::vpn-gat::']
['186.176.238.116', 'B67751', 'PUSH_REPLY,route::vpn-net::,route::net::255.255.0.0,route::priv-net-1::255.255.255.0,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['201.237.206.195', 'anom.pelik', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-3::255.255.255.0,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['190.2.218.184', 'B66310', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::net::255.255.0.0,route::vpn-gat::']
['201.203.46.250', 'b78720', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-1::,route::priv-net-2::255.255.255.0,route::priv-net-3::,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['200.119.185.99', 'b57617', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-2::255.255.255.0,route::vpn-gat::']
['200.119.185.99', 'b57617', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-3::255.255.255.0,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['200.119.185.99', 'b57617', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-3::255.255.255.0,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['186.64.243.82', 'B77676', 'PUSH_REPLY,route::vpn-net::255.255.255.0,route::priv-net-3::255.255.255.0,route::priv-net-4::255.255.255.0,route::vpn-gat::']
['170.245.241.95', 'b51558', 'PUSH_REPLY,route::vpn-net::,route::net::255.255.0.0,route::priv-net-1::255.255.255.0,route::vpn-gat::']
